date,open,high,low,close,volume,signal,ma_20,diff,distance,yearly_high,yearly_low,top_5
2018-08-08,7563.735473632805,6259.5278320312,6259.5278320312,6259.5278320312,6729676288.0,-1,,,-1304.2076416016052,6259.5278320312,,1
2018-08-09,7523.704394531245,6531.25,6531.25,6531.25,6834119680.0,0,,,-992.4543945312453,6531.25,,1
2018-08-10,7463.077050781246,6166.5903320312,6166.5903320312,6166.5903320312,5843795967.999999,0,,,-1296.4867187500458,6166.5903320312,,1
2018-08-11,7403.544653320311,6205.2182617188,6205.2182617188,6205.2182617188,6731245056.0,0,,,-1198.3263916015112,6205.2182617188,,1
2018-08-12,7334.215234374996,6318.4072265625,6318.4072265625,6318.4072265625,5708911104.000001,0,,,-1015.8080078124958,6318.4072265625,,0
2018-08-13,7227.296337890621,6283.99609375,6283.99609375,6283.99609375,5507023360.0,0,,,-943.3002441406206,6283.99609375,,0
2018-08-14,7130.679956054684,6212.2260742188,6212.2260742188,6212.2260742188,5381627392.0,0,,,-918.4538818358842,6212.2260742188,,0
2018-08-15,7047.614428710935,6267.7685546875,6267.7685546875,6267.7685546875,7179484672.000001,0,,,-779.8458740234346,6267.7685546875,,0
2018-08-16,6955.817041015621,6309.3852539062,6309.3852539062,6309.3852539062,6619548160.0,0,,,-646.4317871094208,6309.3852539062,,0
2018-08-17,6874.546020507805,6566.7153320312,6566.7153320312,6566.7153320312,5982589440.0,0,,,-307.83068847660525,6566.7153320312,,0
2018-08-18,6783.769360351555,6382.060546875,6382.060546875,6382.060546875,6206194176.0,0,,,-401.7088134765554,6382.060546875,,0
2018-08-19,6698.24802246093,6475.494140625,6475.494140625,6475.494140625,5616965632.0,0,,,-222.75388183592986,6475.494140625,,0
2018-08-20,6623.47966308593,6242.8823242188,6242.8823242188,6242.8823242188,5160365056.0,0,,,-380.59733886713,6242.8823242188,,0
2018-08-21,6566.22822265624,6467.2719726562,6467.2719726562,6467.2719726562,5578292224.0,0,,,-98.9562500000402,6467.2719726562,,0
2018-08-22,6506.02937011718,6336.65625,6336.65625,6336.65625,5658516992.0,0,,,-169.3731201171804,6336.65625,,0
